Name,InChIKey,InChI,PubChem_CID,SMILES,Synonym1,Synonym2
"(2S,3S,4S,5R)-6-[2-(3,4-dimethoxyphenyl)-3-hydroxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",STGBANHLMLBDFU-FRMANSKWSA-N,"InChI=1S/C23H22O12/c1-31-12-6-3-9(7-14(12)32-2)20-17(26)15(24)11-5-4-10(8-13(11)34-20)33-23-19(28)16(25)18(27)21(35-23)22(29)30/h3-8,16,18-19,21,23,25-28H,1-2H3,(H,29,30)/t16-,18-,19+,21-,23?/m0/s1",154699969,COc1ccc(cc1OC)c1c(c(=O)c2ccc(cc2o1)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)O,,
"6,7-dmydn>7-hydroxy-l-hydroxymethyl-5J/-pyrrolizine (DHP)",STGQXXNYKQCDKN-UUILKARUSA-N,"InChI=1S/C18H25NO6/c1-4-12-9-11(2)17(3,22)16(21)24-10-13-5-7-19-8-6-14(18(13,19)23)25-15(12)20/h4-5,11,14,22-23H,6-10H2,1-3H3/b12-4+",154699970,C/C=C/1\CC(C)C(C)(C(=O)OCC2=CCN3CCC(C23O)OC1=O)O,,
"(2S,3S,4S,5R)-6-[3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropanecarbonyl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",STYWOSKAMYSBSP-VVRSNZIZSA-N,"InChI=1S/C14H18Br2O8/c1-14(2)4(3-5(15)16)6(14)12(22)24-13-9(19)7(17)8(18)10(23-13)11(20)21/h3-4,6-10,13,17-19H,1-2H3,(H,20,21)/t4?,6?,7-,8-,9+,10-,13?/m0/s1",154699972,CC1(C)C(C=C(Br)Br)C1C(=O)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
"(2S,3S,4S,5R)-6-[1-[2-[(4S)-6-chloro-8-hydroxy-2-oxo-4-(trifluoromethyl)-1H-3,1-benzoxazin-4-yl]ethynyl]cyclopropyl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",SUVBXWXDHXJMOP-XNSSWWKFSA-N,"InChI=1S/C20H17ClF3NO10/c21-7-5-8-10(9(26)6-7)25-17(32)35-19(8,20(22,23)24)4-3-18(1-2-18)34-16-13(29)11(27)12(28)14(33-16)15(30)31/h5-6,11-14,16,26-29H,1-2H2,(H,25,32)(H,30,31)/t11-,12-,13+,14-,16?,19-/m0/s1",154699973,C1CC1(C#C[C@]1(c2cc(cc(c2N=C(O)O1)O)Cl)C(F)(F)F)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
N-Desmethylerythromycin,SXRMKZCUOASAPB-BEUWEJSBSA-N,"InChI=1S/C36H69NO11/c1-13-26-36(10,42)30(39)20(3)14-19(2)16-34(8,41)32(48-33-28(38)25(37-11)15-22(5)45-33)23(6)29(21(4)18-44-26)47-27-17-35(9,43-12)31(40)24(7)46-27/h19-33,37-42H,13-18H2,1-12H3/t19-,20+,21-,22+,23-,24-,25-,26+,27-,28+,29-,30+,31-,32+,33-,34+,35+,36+/m0/s1",154699974,CC[C@@H]1[C@](C)([C@@H]([C@H](C)C[C@H](C)C[C@](C)([C@@H]([C@@H](C)[C@H]([C@@H](C)CO1)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)NC)O)O)O)O,,
"(2S,3S,4S,5R)-6-[2-(2-chlorophenyl)-5-hydroxy-8-[(3S,4R)-3-hydroxy-1-methylpiperidin-4-yl]-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",SYNNBRRQNWDVQW-CAZZKBMBSA-N,"InChI=1S/C27H28ClNO11/c1-29-7-6-12(16(32)10-29)19-18(39-27-23(35)21(33)22(34)25(40-27)26(36)37)9-15(31)20-14(30)8-17(38-24(19)20)11-4-2-3-5-13(11)28/h2-5,8-9,12,16,21-23,25,27,31-35H,6-7,10H2,1H3,(H,36,37)/t12-,16+,21-,22-,23+,25-,27?/m0/s1",154699975,CN1CC[C@@H]([C@@H](C1)O)c1c(cc(c2c(=O)cc(c3ccccc3Cl)oc12)O)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
2beta-Hydroxy-17beta-Ethinylestradiol,SYRDZWUTDZQTTL-PQLHGUBISA-N,"InChI=1S/C21H26O3/c1-4-21(24)10-7-18-19(2)8-5-13-11-16(22)17(23)12-14(13)15(19)6-9-20(18,21)3/h1,11-12,15,18,22-24H,5-10H2,2-3H3/t15-,18+,19-,20+,21+/m1/s1",154699976,C#C[C@@]1(CC[C@H]2[C@]3(C)CCc4cc(c(cc4[C@H]3CC[C@]12C)O)O)O,,
"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride",TVUMCYGRGFDDJV-UHFFFAOYSA-N,"InChI=1S/C3HF5O2/c4-1(9)3(7,8)10-2(5)6/h2H",154699977,C(=O)(C(F)(F)OC(F)F)F,,
2-amino-5-[[3-[2-(bromomethyl)phenyl]sulfanyl-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,TVXIENVEPKSGFZ-UHFFFAOYSA-N,"InChI=1S/C17H22BrN3O6S/c18-7-10-3-1-2-4-13(10)28-9-12(16(25)20-8-15(23)24)21-14(22)6-5-11(19)17(26)27/h1-4,11-12H,5-9,19H2,(H,20,25)(H,21,22)(H,23,24)(H,26,27)",154699978,c1ccc(c(c1)CBr)SCC(C(=NCC(=O)O)O)N=C(CCC(C(=O)O)N)O,,
"(2S,3S,4S,5R)-6-[4-[(E)-2-carboxyethenyl]-2-methoxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",TWSIWBHKRJLZCF-AURBXFGWSA-N,"InChI=1S/C16H18O10/c1-24-9-6-7(3-5-10(17)18)2-4-8(9)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2-6,11-14,16,19-21H,1H3,(H,17,18)(H,22,23)/b5-3+/t11-,12-,13+,14-,16?/m0/s1",154699979,COc1cc(ccc1OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)/C=C/C(=O)O,,
"(2S,3S,4S,5R)-3,4,5-trihydroxy-6-[2-[4-(3-methylthiophen-2-yl)phenyl]propanoyloxy]oxane-2-carboxylic acid",TZCRTEBIDCXWQB-UPPKGEOUSA-N,"InChI=1S/C20H22O8S/c1-9-7-8-29-17(9)12-5-3-11(4-6-12)10(2)19(26)28-20-15(23)13(21)14(22)16(27-20)18(24)25/h3-8,10,13-16,20-23H,1-2H3,(H,24,25)/t10?,13-,14-,15+,16-,20?/m0/s1",154699980,Cc1ccsc1c1ccc(cc1)C(C)C(=O)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
"(2S,3S,4S,5R)-3,4,5-trihydroxy-6-(2-methyl-5-propan-2-ylphenoxy)oxane-2-carboxylic acid",TZRSIUKJGIWYEN-AKFOCJAPSA-N,"InChI=1S/C16H22O7/c1-7(2)9-5-4-8(3)10(6-9)22-16-13(19)11(17)12(18)14(23-16)15(20)21/h4-7,11-14,16-19H,1-3H3,(H,20,21)/t11-,12-,13+,14-,16?/m0/s1",154699981,CC(C)c1ccc(C)c(c1)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
"(2S,3S,4S,5R)-6-[[2-[(1-benzylpiperidin-4-yl)methyl]-6-methoxy-1-oxo-2,3-dihydroinden-5-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",UBLKQFQMHFDJGO-OWECDQGASA-N,"InChI=1S/C29H35NO9/c1-37-21-14-20-18(13-22(21)38-29-26(34)24(32)25(33)27(39-29)28(35)36)12-19(23(20)31)11-16-7-9-30(10-8-16)15-17-5-3-2-4-6-17/h2-6,13-14,16,19,24-27,29,32-34H,7-12,15H2,1H3,(H,35,36)/t19?,24-,25-,26+,27-,29?/m0/s1",154699982,COc1cc2c(CC(CC3CCN(CC3)Cc3ccccc3)C2=O)cc1OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
"9-(3-hydroxy-2-methylpropyl)-1,4,7,10,12,15,19,25,28-nonamethyl-33-[(E)-2-methylhex-4-enoyl]-6,18,24-tris(2-methylpropyl)-3,21,30-tri(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",UBVMYFQRUBCNHS-OCEACIFDSA-N,"InChI=1S/C63H111N11O13/c1-25-26-27-41(15)53(77)52-57(81)67-49(37(8)9)61(85)68(18)32-48(76)69(19)44(28-34(2)3)56(80)66-50(38(10)11)62(86)70(20)45(29-35(4)5)55(79)64-42(16)54(78)65-43(17)58(82)71(21)47(31-40(14)33-75)59(83)72(22)46(30-36(6)7)60(84)73(23)51(39(12)13)63(87)74(52)24/h25-26,34-47,49-52,75H,27-33H2,1-24H3,(H,64,79)(H,65,78)(H,66,80)(H,67,81)/b26-25+",154699983,C/C=C/CC(C)C(=O)C1C(=NC(C(C)C)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=NC(C)C(=NC(C)C(=O)N(C)C(CC(C)CO)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O)O)O)O,,
(2R)-2-[4-(4-methyl-2-oxo-3H-thiophen-5-yl)phenyl]propanoic acid,UCLJEKUGFLLCDU-SECBINFHSA-N,"InChI=1S/C14H14O3S/c1-8-7-12(15)18-13(8)11-5-3-10(4-6-11)9(2)14(16)17/h3-6,9H,7H2,1-2H3,(H,16,17)/t9-/m1/s1",154699984,CC1=C(c2ccc(cc2)[C@@H](C)C(=O)O)SC(=O)C1,,
Flavanone 7-O-glucuronide,UEJIGELLVFMCDJ-ZURLMRQQSA-N,"InChI=1S/C21H20O9/c22-13-9-14(10-4-2-1-3-5-10)29-15-8-11(6-7-12(13)15)28-21-18(25)16(23)17(24)19(30-21)20(26)27/h1-8,14,16-19,21,23-25H,9H2,(H,26,27)/t14?,16-,17-,18+,19-,21+/m0/s1",154699985,c1ccc(cc1)C1CC(=O)c2ccc(cc2O1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
2-ethoxy-4-[2-[[3-hydroxy-3-methyl-1-(2-piperidin-1-ylphenyl)butyl]amino]-2-oxoethyl]benzoic acid,UEOAQSOFPSCIAE-UHFFFAOYSA-N,"InChI=1S/C27H36N2O5/c1-4-34-24-16-19(12-13-21(24)26(31)32)17-25(30)28-22(18-27(2,3)33)20-10-6-7-11-23(20)29-14-8-5-9-15-29/h6-7,10-13,16,22,33H,4-5,8-9,14-15,17-18H2,1-3H3,(H,28,30)(H,31,32)",154699986,CCOc1cc(ccc1C(=O)O)CC(=NC(CC(C)(C)O)c1ccccc1N1CCCCC1)O,,
2-[1-[1-[2-(2-fluorophenyl)-1-hydroxyethyl]piperidin-4-yl]indol-6-yl]-N-methylacetamide,UESYPAOIMZYXCC-UHFFFAOYSA-N,"InChI=1S/C24H28FN3O2/c1-26-23(29)15-17-6-7-18-8-13-28(22(18)14-17)20-9-11-27(12-10-20)24(30)16-19-4-2-3-5-21(19)25/h2-8,13-14,20,24,30H,9-12,15-16H2,1H3,(H,26,29)",154699987,CN=C(Cc1ccc2ccn(C3CCN(CC3)C(Cc3ccccc3F)O)c2c1)O,,
Brodifacoum O-glucuronide,UGNYAZFBDKONOJ-WMNBIHONSA-N,"InChI=1S/C37H31BrO9/c38-24-15-13-20(14-16-24)19-9-11-21(12-10-19)23-17-22-5-1-2-6-25(22)27(18-23)29-33(26-7-3-4-8-28(26)45-36(29)44)46-37-32(41)30(39)31(40)34(47-37)35(42)43/h1-16,23,27,30-32,34,37,39-41H,17-18H2,(H,42,43)/t23?,27?,30-,31-,32+,34-,37?/m0/s1",154699988,c1ccc2c(c1)CC(CC2c1c(c2ccccc2oc1=O)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)c1ccc(cc1)c1ccc(cc1)Br,,
"alpha-thujone, 4-O-glucuronide",UILIWLYYTHIBJT-BSVWXJLRSA-N,"InChI=1S/C16H24O9/c1-5(2)16-4-6(16)15(3,23)11(20)12(16)25-14-9(19)7(17)8(18)10(24-14)13(21)22/h5-10,12,14,17-19,23H,4H2,1-3H3,(H,21,22)/t6-,7+,8+,9-,10+,12-,14?,15+,16+/m1/s1",154699989,CC(C)[C@@]12C[C@@H]1[C@@](C)(C(=O)[C@H]2OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)O,,
Hydroxy-DA-8164,UJBLEAFWMWIAOV-UHFFFAOYSA-N,"InChI=1S/C25H36N6O5S/c1-4-7-20-22-23(31(3)29-20)25(33)28-24(27-22)19-16-18(9-10-21(19)36-15-6-14-32)37(34,35)26-12-11-17-8-5-13-30(17)2/h9-10,16-17,26,32H,4-8,11-15H2,1-3H3,(H,27,28,33)",154699990,CCCc1c2c(c(=O)[nH]c(c3cc(ccc3OCCCO)S(=O)(=O)NCCC3CCCN3C)n2)n(C)n1,,
"(2S,3S,4S,5R)-6-[[5-[5-chloro-3-(4-methylsulfonylphenyl)pyridin-2-yl]pyridin-2-yl]methoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",UJWKCNOGFMSHNK-VDPKEQMDSA-N,"InChI=1S/C24H23ClN2O9S/c1-37(33,34)16-6-3-12(4-7-16)17-8-14(25)10-27-18(17)13-2-5-15(26-9-13)11-35-24-21(30)19(28)20(29)22(36-24)23(31)32/h2-10,19-22,24,28-30H,11H2,1H3,(H,31,32)/t19-,20-,21+,22-,24?/m0/s1",154699991,CS(=O)(=O)c1ccc(cc1)c1cc(cnc1c1ccc(COC2[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O2)O)O)O)nc1)Cl,,
"3,4p-Dimethoxy-5,3p-dihydroxyflavone, 7-O-glucuronide",UKBHRTHHHQNBBM-USFRMQJTSA-N,"InChI=1S/C23H22O13/c1-32-12-4-3-8(5-10(12)24)19-20(33-2)15(26)14-11(25)6-9(7-13(14)35-19)34-23-18(29)16(27)17(28)21(36-23)22(30)31/h3-7,16-18,21,23-25,27-29H,1-2H3,(H,30,31)/t16-,17-,18+,21-,23+/m0/s1",154699992,COc1ccc(cc1O)c1c(c(=O)c2c(cc(cc2o1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)O)OC,,
Tamoxifen N-glucuronide,UKFQQYJAYUAYES-VJGYKHGHSA-O,"InChI=1S/C32H37NO7/c1-4-25(21-11-7-5-8-12-21)26(22-13-9-6-10-14-22)23-15-17-24(18-16-23)39-20-19-33(2,3)31-29(36)27(34)28(35)30(40-31)32(37)38/h5-18,27-31,34-36H,4,19-20H2,1-3H3/p+1/b26-25-/t27-,28-,29+,30-,31?/m0/s1",154699993,CC/C(=C(\c1ccccc1)/c1ccc(cc1)OCC[N+](C)(C)C1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)/c1ccccc1,,
Midazolam N-glucuronide,ULVPQZCKSQYJQR-DRSFHUHJSA-O,"InChI=1S/C24H21ClFN3O6/c1-11-28(23-21(32)19(30)20(31)22(35-23)24(33)34)10-13-9-27-18(14-4-2-3-5-16(14)26)15-8-12(25)6-7-17(15)29(11)13/h2-8,10,19-23,30-32H,9H2,1H3/p+1/t19-,20-,21+,22-,23?/m0/s1",154699994,Cc1[n+](cc2CN=C(c3ccccc3F)c3cc(ccc3n12)Cl)C1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
"(2S,3S,4S,5R)-3,4,5-trihydroxy-6-[3-(4-methoxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylic acid",UMBVLOHYPOQARY-QAKXDBDYSA-N,"InChI=1S/C22H20O10/c1-29-11-4-2-10(3-5-11)14-9-30-15-8-12(6-7-13(15)16(14)23)31-22-19(26)17(24)18(25)20(32-22)21(27)28/h2-9,17-20,22,24-26H,1H3,(H,27,28)/t17-,18-,19+,20-,22?/m0/s1",154699995,COc1ccc(cc1)c1coc2cc(ccc2c1=O)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-(2-phenylpropan-2-ylperoxysulfanyl)propan-2-yl]amino]-5-oxopentanoic acid,UNOPQFXKZSVJFM-KBPBESRZSA-N,"InChI=1S/C19H27N3O8S/c1-19(2,12-6-4-3-5-7-12)29-30-31-11-14(17(26)21-10-16(24)25)22-15(23)9-8-13(20)18(27)28/h3-7,13-14H,8-11,20H2,1-2H3,(H,21,26)(H,22,23)(H,24,25)(H,27,28)/t13-,14-/m0/s1",154699996,CC(C)(c1ccccc1)OOSC[C@@H](C(=NCC(=O)O)O)N=C(CC[C@@H](C(=O)O)N)O,,
PhIP 4'-O-glucuronide,UNVUNODRTHJKHH-PYOGLGTISA-N,"InChI=1S/C19H20N4O7/c1-23-11-6-9(7-21-16(11)22-19(23)20)8-2-4-10(5-3-8)29-18-14(26)12(24)13(25)15(30-18)17(27)28/h2-7,12-15,18,24-26H,1H3,(H,27,28)(H2,20,21,22)/t12-,13-,14+,15-,18+/m0/s1",154699997,Cn1c2cc(cnc2[nH]c1=N)c1ccc(cc1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
Emodin 3-hydroxy-glucuronide,UOVNRYPZHIVMBG-ZFORQUDYSA-N,"InChI=1S/C21H18O11/c1-6-2-8-12(10(22)3-6)15(25)13-9(14(8)24)4-7(5-11(13)23)31-21-18(28)16(26)17(27)19(32-21)20(29)30/h2-5,16-19,21-23,26-28H,1H3,(H,29,30)/t16-,17-,18+,19-,21+/m0/s1",154699998,Cc1cc2c(c(c1)O)C(=O)c1c(cc(cc1O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)C2=O,,
quinone,UPDRCHOSPNAMLR-UHFFFAOYSA-N,"InChI=1S/C18H22N2O2/c21-15-8-9-17(22)14(11-15)12-20-16-7-4-10-19-18(16)13-5-2-1-3-6-13/h1-3,5-6,8,11,16,18-21H,4,7,9-10,12H2",154699999,c1ccc(cc1)C1C(CCCN1)NCC1=CC(=CCC1=O)O,,
"(2S,3S,4S,5R)-3,4,5-trihydroxy-6-(5-methoxy-4-oxo-2-phenylchromen-3-yl)oxyoxane-2-carboxylic acid",UQTKNLNNVVKVSC-XTLXVGOWSA-N,"InChI=1S/C22H20O10/c1-29-11-8-5-9-12-13(11)14(23)19(18(30-12)10-6-3-2-4-7-10)31-22-17(26)15(24)16(25)20(32-22)21(27)28/h2-9,15-17,20,22,24-26H,1H3,(H,27,28)/t15-,16-,17+,20-,22?/m0/s1",154700000,COc1cccc2c1c(=O)c(c(c1ccccc1)o2)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
"4-(Dimethylamino)-5-methyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-one",URECXYGMECJQLI-UHFFFAOYSA-N,"InChI=1S/C11H13N3O/c1-13(2)10-8-12-14(11(10)15)9-6-4-3-5-7-9/h3-8,12H,1-2H3",154700001,CN(C)c1c[nH]n(c2ccccc2)c1=O,,
Desipramine N-glucuronide,USQMVWGMFYLMOY-UHFFFAOYSA-N,"InChI=1S/C24H30N2O6/c1-25(23-21(29)19(27)20(28)22(32-23)24(30)31)13-6-14-26-17-9-4-2-7-15(17)11-12-16-8-3-5-10-18(16)26/h2-5,7-10,19-23,27-29H,6,11-14H2,1H3,(H,30,31)",154700002,CN(CCCN1c2ccccc2CCc2ccccc12)C1C(C(C(C(C(=O)O)O1)O)O)O,,
"(2S,3S,4S,5R)-3,4,5-trihydroxy-6-[(4-prop-1-en-2-ylcyclohexen-1-yl)methoxy]oxane-2-carboxylic acid",USSVDYQHMLZFBY-SHIOMWLHSA-N,"InChI=1S/C16H24O7/c1-8(2)10-5-3-9(4-6-10)7-22-16-13(19)11(17)12(18)14(23-16)15(20)21/h3,10-14,16-19H,1,4-7H2,2H3,(H,20,21)/t10?,11-,12-,13+,14-,16?/m0/s1",154700003,C=C(C)C1CC=C(CC1)COC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
"30-ethyl-12-(2-hydroxyethoxymethyl)-33-[(E)-1-hydroxy-2-methylhex-4-enyl]-21-(2-hydroxypropan-2-yl)-1,4,7,10,15,19,25,28-octamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3-propan-2-yl-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",UVCAQZQZHCIPSQ-SHHOIMCASA-N,"InChI=1S/C64H115N11O15/c1-24-26-27-41(13)52(78)51-57(82)66-43(25-2)58(83)69(17)34-49(77)70(18)45(30-36(3)4)56(81)68-53(64(15,16)89)63(88)71(19)46(31-37(5)6)55(80)65-42(14)54(79)67-44(35-90-29-28-76)59(84)72(20)47(32-38(7)8)60(85)73(21)48(33-39(9)10)61(86)74(22)50(40(11)12)62(87)75(51)23/h24,26,36-48,50-53,76,78,89H,25,27-35H2,1-23H3,(H,65,80)(H,66,82)(H,67,79)(H,68,81)/b26-24+",154700004,C/C=C/CC(C)C(C1C(=NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=NC(C(=O)N(C)C(CC(C)C)C(=NC(C)C(=NC(COCCO)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O)O)C(C)(C)O)O)O)O,,
"(2S,3S,4S,5R)-6-[4-[[(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoyl]amino]phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",UVITUJIIRZWOPU-QGIYCXAWSA-N,"InChI=1S/C32H41NO8/c1-19(11-16-24-21(3)10-7-17-32(24,4)5)8-6-9-20(2)18-25(34)33-22-12-14-23(15-13-22)40-31-28(37)26(35)27(36)29(41-31)30(38)39/h6,8-9,11-16,18,26-29,31,35-37H,7,10,17H2,1-5H3,(H,33,34)(H,38,39)/b9-6+,16-11+,19-8+,20-18+/t26-,27-,28+,29-,31?/m0/s1",154700005,C/C(=C\C=C\C(=C\C(=O)Nc1ccc(cc1)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)\C)/C=C/C1=C(C)CCCC1(C)C,,
"(2S,3S,4S,5R)-3,4,5-trihydroxy-6-[2-(3-hydroxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylic acid",UWZXHFFBCSGPTI-DAZJWRSOSA-N,"InChI=1S/C21H18O10/c22-10-3-1-2-9(6-10)14-8-13(23)12-5-4-11(7-15(12)30-14)29-21-18(26)16(24)17(25)19(31-21)20(27)28/h1-8,16-19,21-22,24-26H,(H,27,28)/t16-,17-,18+,19-,21?/m0/s1",154700007,c1cc(cc(c1)O)c1cc(=O)c2ccc(cc2o1)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
"(2S,3S,4S,5R)-6-[4-ethyl-4-(4-hydroxyphenyl)-2,5-dioxoimidazolidin-1-yl]-3,4,5-trihydroxyoxane-2-carboxylic acid",UXNQYGATIZUCQK-NSOBYCPISA-N,"InChI=1S/C17H20N2O9/c1-2-17(7-3-5-8(20)6-4-7)15(26)19(16(27)18-17)13-11(23)9(21)10(22)12(28-13)14(24)25/h3-6,9-13,20-23H,2H2,1H3,(H,18,27)(H,24,25)/t9-,10-,11+,12-,13?,17?/m0/s1",154700008,CCC1(c2ccc(cc2)O)C(=O)N(C2[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O2)O)O)O)C(=N1)O,,
2-Hydroxy-almotriptan,UYQQYVHESFAATL-UHFFFAOYSA-N,"InChI=1S/C17H25N3O3S/c1-19(2)9-7-14-11-18-16-6-5-13(10-15(14)16)12-24(22,23)20-8-3-4-17(20)21/h5-6,10-11,17-18,21H,3-4,7-9,12H2,1-2H3",154700009,CN(C)CCc1c[nH]c2ccc(cc12)CS(=O)(=O)N1CCCC1O,,
"(2S,3S,4S,5R)-6-(4-ethylphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",VCVXAAYLLIDUGA-ZAOAHOKWSA-N,"InChI=1S/C14H18O7/c1-2-7-3-5-8(6-4-7)20-14-11(17)9(15)10(16)12(21-14)13(18)19/h3-6,9-12,14-17H,2H2,1H3,(H,18,19)/t9-,10-,11+,12-,14?/m0/s1",154700010,CCc1ccc(cc1)OC1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,,
"(8S,10R,13S,14S,16R,17S)-17-[2-[4-(2,6-dipyrrolidin-1-ylpyrimidin-4-yl)piperazin-1-yl]acetyl]-6-hydroxy-10,13,16-trimethyl-6,7,8,12,14,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",VDRMYIRMMZPUDN-MHQDJAMUSA-N,"InChI=1S/C38H52N6O3/c1-25-20-29-27-22-31(46)30-21-26(45)8-10-37(30,2)28(27)9-11-38(29,3)35(25)32(47)24-41-16-18-43(19-17-41)34-23-33(42-12-4-5-13-42)39-36(40-34)44-14-6-7-15-44/h8-10,21,23,25,27,29,31,35,46H,4-7,11-20,22,24H2,1-3H3/t25-,27-,29+,31?,35-,37-,38+/m1/s1",154700011,C[C@@H]1C[C@H]2[C@@H]3CC(C4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1)O,,
N-[2-(4-hydroxyphenyl)pyrazol-3-yl]-4-methylbenzenesulfonamide,VESXFLZNMRMCLI-UHFFFAOYSA-N,"InChI=1S/C16H15N3O3S/c1-12-2-8-15(9-3-12)23(21,22)18-16-10-11-17-19(16)13-4-6-14(20)7-5-13/h2-11,18,20H,1H3",154700012,Cc1ccc(cc1)S(=O)(=O)Nc1ccnn1c1ccc(cc1)O,,
"(2S)-N-[(2S,3R)-4-[(3S,4aR,8aS)-3-(tert-butylcarbamoyl)-6-hydroxy-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",VEVTYHWFAKZKCL-VICGCSEUSA-N,"InChI=1S/C38H50N6O6/c1-38(2,3)43-37(50)32-19-26-18-27(45)15-13-25(26)21-44(32)22-33(46)30(17-23-9-5-4-6-10-23)41-36(49)31(20-34(39)47)42-35(48)29-16-14-24-11-7-8-12-28(24)40-29/h4-12,14,16,25-27,30-33,45-46H,13,15,17-22H2,1-3H3,(H2,39,47)(H,41,49)(H,42,48)(H,43,50)/t25-,26+,27?,30+,31+,32+,33-/m1/s1",154700013,CC(C)(C)N=C([C@@H]1C[C@@H]2CC(CC[C@@H]2CN1C[C@H]([C@H](Cc1ccccc1)N=C([C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1)O)O)O)O,,
"5-O-(1-hydroxy-2-methylpropyl) 3-O-methyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",VFKWLFKJWCAALB-UHFFFAOYSA-N,"InChI=1S/C20H24N2O7/c1-10(2)18(23)29-20(25)16-12(4)21-11(3)15(19(24)28-5)17(16)13-8-6-7-9-14(13)22(26)27/h6-10,17-18,21,23H,1-5H3",154700014,CC(C)C(O)OC(=O)C1=C(C)NC(=C(C1c1ccccc1N(=O)=O)C(=O)OC)C,,
